,Unnamed: 0,name,url,taste,price_250g,price_1000g,timestamp,Weight250,price250gcurrency,curreny,price250,Weight1000,price1000gcurrency,price1000,typ,origin_list,country1,country2,country3,country4,country5
47,47,Laurina Pointu de Bourbon,https://www.rastshop.ch/de/kaffee/laurina-pointu-de-bourbon,"Litschi, Gewürze, Kakao",250 g à CHF 122.00,1 kg à CHF 486.00,2022-12-08 14:16:54.759818+00:00,250,CHF 122.00,CHF,122.00,1000,CHF 486.00,486.00,Einzelsorte,LaRéunion,LaRéunion,,,,
48,48,Butihinda,https://www.rastshop.ch/de/kaffee/butihinda,"Schwarztee, Pfirsich",250 g à CHF 9.30,1 kg à CHF 34.90,2022-12-08 14:16:54.768211+00:00,250,CHF 9.30,CHF,9.30,1000,CHF 34.90,34.90,Einzelsorte,Burundi,Burundi,,,,
49,49,Somaho,https://www.rastshop.ch/de/kaffee/somaho,"Mango, Pfirsich, leicht blumig",250 g à CHF 10.30,1 kg à CHF 38.90,2022-12-08 14:16:54.773289+00:00,250,CHF 10.30,CHF,10.30,1000,CHF 38.90,38.90,Einzelsorte,Rwanda,Rwanda,,,,
50,50,Java Baron,https://www.rastshop.ch/de/kaffee/java-baron,"Kakao, Walnuss, leichte Tabaknoten",250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 14:16:54.778068+00:00,250,CHF 6.50,CHF,6.50,1000,CHF 23.90,23.90,Einzelsorte,Indonesien,Indonesien,,,,
51,51,"Mandheling, Gold",https://www.rastshop.ch/de/kaffee/mandheling-gold,"würzig, leicht fruchtig",250 g à CHF 7.30,1 kg à CHF 26.90,2022-12-08 14:16:54.783065+00:00,250,CHF 7.30,CHF,7.30,1000,CHF 26.90,26.90,Einzelsorte,Indonesien,Indonesien,,,,
52,52,Malabar,https://www.rastshop.ch/de/kaffee/malabar-monsooned-aspinwall,"nussig, mild, Gewürze",250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 14:16:54.788353+00:00,250,CHF 6.80,CHF,6.80,1000,CHF 24.90,24.90,Einzelsorte,Indien,Indien,,,,
53,53,Plantation RFA,https://www.rastshop.ch/de/kaffee/plantation-rfa,"würzig, Schokolade, leicht Pflaume",250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 14:16:54.793124+00:00,250,CHF 7.00,CHF,7.00,1000,CHF 25.90,25.90,Einzelsorte,Indien,Indien,,,,
54,54,Kerkeicoondah,https://www.rastshop.ch/de/kaffee/kerkeicoondah-balehonnur-farm,"nussig, würzig, schokoladig",250 g à CHF 9.30,1 kg à CHF 34.90,2022-12-08 14:16:54.797933+00:00,250,CHF 9.30,CHF,9.30,1000,CHF 34.90,34.90,Einzelsorte,Indien,Indien,,,,
55,55,Ponya,https://www.rastshop.ch/de/kaffee/ponya-palthope-estate,"reife Erdbeeren, Mascarpone",250 g à CHF 10.30,1 kg à CHF 38.90,2022-12-08 14:16:54.803094+00:00,250,CHF 10.30,CHF,10.30,1000,CHF 38.90,38.90,Einzelsorte,Indien,Indien,,,,
56,56,Chin Litäi,https://www.rastshop.ch/de/kaffee/chin-litai,"Beeren, Orange",250 g à CHF 9.30,1 kg à CHF 34.90,2022-12-08 14:16:54.808253+00:00,250,CHF 9.30,CHF,9.30,1000,CHF 34.90,34.90,Einzelsorte,Myanmar,Myanmar,,,,
57,57,Sigri,https://www.rastshop.ch/de/kaffee/sigri-estate-plantation,"nussig, leicht fruchtig",250 g à CHF 7.30,1 kg à CHF 26.90,2022-12-08 14:16:54.813077+00:00,250,CHF 7.30,CHF,7.30,1000,CHF 26.90,26.90,Einzelsorte,Papua-Neuguinea,Papua-Neuguinea,,,,
58,58,Dornröschen,https://www.rastshop.ch/de/kaffee/dornroschen,"dunkle Schokolade, getrocknete Aprikosen",250 g à CHF 7.30,1 kg à CHF 26.90,2022-12-08 14:16:54.818069+00:00,250,CHF 7.30,CHF,7.30,1000,CHF 26.90,26.90,Koffeinfreie Mischung,Brasilien,Brasilien,,,,
59,59,Koffeinfrei Fairtrade,https://www.rastshop.ch/de/kaffee/koffeinfrei-fairtrade,Schokolade,250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 14:16:54.829383+00:00,250,CHF 7.50,CHF,7.50,1000,CHF 27.90,27.90,Koffeinfreie Mischung,Peru,Peru,,,,
