,name,taste,url,timestamp,retailer,label,roastlevel,Weight250,curreny,price250,Weight1000,price1000,typ,origin_list,country1,country2,country3,country4,country5,roastlevel_cat,Süsse,Bitterkeit,Blumig,Fruchtig,Nussig,Würzig,Röstartig,Körper,Abgang,Säure
26,Rainforest Espresso,"Bittermandel, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/rainforest-espresso,2022-12-09 08:41:23.438316+00:00,Rast Kaffee,Rainforest,56.25,250,CHF,6.50,1000,23.90,Espresso-Mischung,"Brasilien,Guatemala,CostaRica,Indien",Brasilien,Guatemala,CostaRica,Indien,,3,2,4,0,2,3,4,4,4,4,2
27,Palmichal,"Asam, Lakritz, Pfirsich",https://www.rastshop.ch/de/kaffee/palmichal,2022-12-09 08:41:23.480096+00:00,Rast Kaffee,NaN,50.0,250,CHF,8.30,1000,30.90,Einzelsorte,CostaRica,CostaRica,,,,,3,5,1,1,4,2,2,1,4,3,3
28,Serrano Lavado,"Walnuss, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/serrano-lavado,2022-12-09 08:41:23.492523+00:00,Rast Kaffee,NaN,52.5,250,CHF,8.30,1000,30.90,Einzelsorte,Kuba,Kuba,,,,,3,1,3,1,1,3,3,2,2,4,1
29,Herminio Bio,"Zitrus, Früchtetee, Nussschokolade",https://www.rastshop.ch/de/kaffee/herminio-bio,2022-12-09 08:41:23.500095+00:00,Rast Kaffee,Bio,38.75,250,CHF,8.30,1000,30.90,Einzelsorte,Guatemala,Guatemala,,,,,2,4,0,1,4,4,1,1,4,4,4
30,Buena Vista,"Baumnuss, leichte Johannisbeere",https://www.rastshop.ch/de/kaffee/buena-vista,2022-12-09 08:41:23.507417+00:00,Rast Kaffee,NaN,56.25,250,CHF,8.80,1000,32.90,Einzelsorte,Guatemala,Guatemala,,,,,3,5,2,2,3,4,2,0,3,4,3
31,Blue Mountain,"Erdnuss, Haselnuss, Karamell, Schokolade",https://www.rastshop.ch/de/kaffee/blue-mountain,2022-12-09 08:41:23.514844+00:00,Rast Kaffee,NaN,53.75,250,CHF,39.50,1000,156.00,Einzelsorte,Jamaika,Jamaika,,,,,3,3,0,1,4,3,0,0,3,4,3
32,Iglesia,"Limette, Assam-Tee, Mandel, Walnuss",https://www.rastshop.ch/de/kaffee/iglesia-finca-hamburgo,2022-12-09 08:41:23.522256+00:00,Rast Kaffee,Parzellenkaffee,43.75,250,CHF,11.80,1000,44.90,Einzelsorte,Mexiko,Mexiko,,,,,3,2,2,0,2,2,5,2,3,4,2
33,Berilo Bio,"getrocknete Aprikose, Kakao und Mandel",https://www.rastshop.ch/de/kaffee/berilo-bio,2022-12-09 08:41:23.529779+00:00,Rast Kaffee,Bio,55.0,250,CHF,8.00,1000,29.90,Einzelsorte,Mexiko,Mexiko,,,,,3,5,1,0,3,3,2,1,4,3,3
34,Comsa Bio Fairtrade,"Orange, Tabak, Baumnuss",https://www.rastshop.ch/de/kaffee/comsa-bio-fairtrade,2022-12-09 08:41:23.538421+00:00,Rast Kaffee,"Bio, Direct Trade, Fairtrade",50.0,250,CHF,8.30,1000,30.90,Einzelsorte,Honduras,Honduras,,,,,3,4,2,2,4,4,2,2,3,2,4
35,Gesha natural,"Pflaume, Mango, Ananas",https://www.rastshop.ch/de/kaffee/gesha-natural,2022-12-09 08:41:23.550007+00:00,Rast Kaffee,NaN,37.5,250,CHF,39.50,1000,156.00,Einzelsorte,Panama,Panama,,,,,2,5,0,4,5,0,0,0,5,5,3
36,Gesha washed,"Bergamotte, Jasmin, Honig, Apfel",https://www.rastshop.ch/de/kaffee/gesha-washed,2022-12-09 08:41:23.578476+00:00,Rast Kaffee,NaN,37.5,250,CHF,39.50,1000,156.00,Einzelsorte,Panama,Panama,,,,,2,4,0,5,5,1,1,0,3,3,4
37,Bonita Springs Wush Wush,"Früchtetee, Limone, reife Ananas",https://www.rastshop.ch/de/kaffee/bonita-springs-wush-wush,2022-12-09 08:41:23.587993+00:00,Rast Kaffee,NaN,,250,CHF,22.00,1000,86.00,Einzelsorte,Panama,Panama,,,,,0,5,0,2,5,0,0,0,3,3,4
38,Bahareque Fairtrade,"nussig, Schokolade, Pfirsich",https://www.rastshop.ch/de/kaffee/bahareque-fairtrade,2022-12-09 08:41:23.595374+00:00,Rast Kaffee,"Direct Trade, Fairtrade",50.0,250,CHF,8.00,1000,29.90,Einzelsorte,Kolumbien,Kolumbien,,,,,3,3,1,2,3,3,2,2,2,3,4
39,Vista Alegre,"Steinobst, Haselnuss, Honig",https://www.rastshop.ch/de/kaffee/fazenda-vista-alegre,2022-12-09 08:41:23.603560+00:00,Rast Kaffee,Direct Trade,58.75,250,CHF,7.50,1000,27.90,Einzelsorte,Brasilien,Brasilien,,,,,3,5,1,3,3,3,0,1,3,3,2
