,name,url,price250g,price1000g,blend/country,aroma,coffee_roastlevel,labels,chartjs data
13,{'Home-Office'},{'url': 'https://www.rastshop.ch/de/kaffee/home-office'},250 g à CHF 7.00,,"{'Kaffee-Mischung\nKolumbien, Äthiopien, Brasilien'}","Haselnuss, getrocknete Aprikose",right: 51.25%;,[],"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [4,1,2,3,3,2,1,2,3,3];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
14,{'Milano'},{'url': 'https://www.rastshop.ch/de/kaffee/milano'},250 g à CHF 6.30,,"{'Espresso-Mischung\nGuatemala, Brasilien, Costa Rica, Indonesien'}","würzig, dunkle Schokolade",right: 38.75%;,NaN,"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [3,3,0,0,3,5,4,4,4,1];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
15,{'Roma'},{'url': 'https://www.rastshop.ch/de/kaffee/roma'},250 g à CHF 6.50,,"{'Espresso-Mischung\nIndonesien, Brasilien, Kolumbien'}","würzig, angenehme Röstaromen",right: 26.25%;,[],"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [2,4,1,0,3,4,4,3,3,1];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
16,{'Sicilia'},{'url': 'https://www.rastshop.ch/de/kaffee/sicilia'},250 g à CHF 6.50,,"{'Espresso-Mischung\nIndonesien, Kolumbien, Brasilien'}","nussig, Bittermandel",right: 11.25%;,NaN,"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [2,5,0,0,4,3,5,4,4,0];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
17,{'Venezia'},{'url': 'https://www.rastshop.ch/de/kaffee/venezia'},250 g à CHF 6.50,,"{'Espresso-Mischung\nIndonesien, Äthiopien, Costa Rica, Brasilien'}","süsse, rote Beeren",right: 36.25%;,[],"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [4,2,2,3,3,3,2,3,3,2];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
18,{'Vesuvio'},{'url': 'https://www.rastshop.ch/de/kaffee/vesuvio'},250 g à CHF 6.60,,"{'Espresso-Mischung\nIndonesien, Guatemala, Kolumbien, Burundi'}","würzig, leichte Rauchnote",right: 26.25%;,['Label Fairtrade'],"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [1,4,0,0,1,4,4,4,4,2];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
19,{'Barista Espresso'},{'url': 'https://www.rastshop.ch/de/kaffee/barista-espresso'},250 g à CHF 6.80,,"{'Espresso-Mischung\nGuatemala, Kenia, Indonesien, Indien, Brasilien'}","Mandel, Zitrusnote",right: 41.25%;,NaN,"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [3,1,0,3,3,2,2,4,4,3];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
20,{'Tropical Rainforest'},{'url': 'https://www.rastshop.ch/de/kaffee/tropical-rainforest'},250 g à CHF 6.30,,"{'Espresso-Mischung\nMexiko, Brasilien, Tansania'}","Süssholz, Karamell, gebrannte Mandeln",right: 33.75%;,['Label Fairtrade'],"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [1,4,0,2,5,3,4,4,4,1];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
21,{'Fairtrade Espresso'},{'url': 'https://www.rastshop.ch/de/kaffee/fairtrade-espresso'},250 g à CHF 6.80,1 kg à CHF 24.90,"{'Espresso-Mischung\nBrasilien, Peru, Honduras, Tansania'}","Haselnuss, leicht erdig, zartbitter, Süssholz",right: 38.75%;,['Label Bio'],"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [4,3,0,2,4,4,3,4,4,3];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
22,{'Bio Espresso'},{'url': 'https://www.rastshop.ch/de/kaffee/bio-espresso'},250 g à CHF 7.50,1 kg à CHF 27.90,"{'Espresso-Mischung\nGuatemala, Indonesien'}",dunkle Nussschokolade,right: 36.25%;,NaN,"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [2,3,1,1,4,4,3,4,4,2];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
23,{'Rainforest Espresso'},{'url': 'https://www.rastshop.ch/de/kaffee/rainforest-espresso'},250 g à CHF 6.30,1 kg à CHF 22.90,"{'Espresso-Mischung\nBrasilien, Guatemala, Costa Rica, Indien'}","Bittermandel, dunkle Schokolade",right: 43.75%;,['Label Bio'],"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [2,4,0,2,3,4,4,4,4,2];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
