,Unnamed: 0_x,name,taste_x,url_x,timestamp_x,retailer_x,label,roastlevel,Weight250_x,curreny_x,price250_x,Weight1000_x,price1000_x,typ_x,origin_list_x,country1_x,country2_x,country3_x,country4_x,country5_x,roastlevel_cat,Süsse,Bitterkeit,Blumig,Fruchtig,Nussig,Würzig,Röstartig,Körper,Abgang,Säure,Unnamed: 0_y,taste_y,url_y,timestamp_y,retailer_y,Weight250_y,curreny_y,price250_y,Weight1000_y,price1000_y,typ_y,origin_list_y,country1_y,country2_y,country3_y,country4_y,country5_y
27,27,Palmichal,"Asam, Lakritz, Pfirsich",https://www.rastshop.ch/de/kaffee/palmichal,2022-12-09 08:41:23.480096+00:00,Rast Kaffee,,50.0,250,CHF,8.3,1000,30.9,Einzelsorte,CostaRica,CostaRica,,,,,3,5,1,1,4,2,2,1,4,3,3,,,,,,,,,,,,,,,,,
28,28,Serrano Lavado,"Walnuss, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/serrano-lavado,2022-12-09 08:41:23.492523+00:00,Rast Kaffee,,52.5,250,CHF,8.3,1000,30.9,Einzelsorte,Kuba,Kuba,,,,,3,1,3,1,1,3,3,2,2,4,1,25.0,"Walnuss, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/serrano-lavado,2022-12-09 08:44:20.088668+00:00,Rast Kaffee,250.0,CHF,7.5,1000.0,27.9,Einzelsorte,Kuba,Kuba,,,,
29,29,Herminio Bio,"Zitrus, Früchtetee, Nussschokolade",https://www.rastshop.ch/de/kaffee/herminio-bio,2022-12-09 08:41:23.500095+00:00,Rast Kaffee,Bio,38.75,250,CHF,8.3,1000,30.9,Einzelsorte,Guatemala,Guatemala,,,,,2,4,0,1,4,4,1,1,4,4,4,27.0,"Zitrus, Früchtetee, Nussschokolade",https://www.rastshop.ch/de/kaffee/herminio-bio,2022-12-09 08:44:20.119726+00:00,Rast Kaffee,250.0,CHF,7.5,1000.0,27.9,Einzelsorte,Guatemala,Guatemala,,,,
30,30,Buena Vista,"Baumnuss, leichte Johannisbeere",https://www.rastshop.ch/de/kaffee/buena-vista,2022-12-09 08:41:23.507417+00:00,Rast Kaffee,,56.25,250,CHF,8.8,1000,32.9,Einzelsorte,Guatemala,Guatemala,,,,,3,5,2,2,3,4,2,0,3,4,3,,,,,,,,,,,,,,,,,
31,31,Blue Mountain,"Erdnuss, Haselnuss, Karamell, Schokolade",https://www.rastshop.ch/de/kaffee/blue-mountain,2022-12-09 08:41:23.514844+00:00,Rast Kaffee,,53.75,250,CHF,39.5,1000,156.0,Einzelsorte,Jamaika,Jamaika,,,,,3,3,0,1,4,3,0,0,3,4,3,28.0,"Erdnuss, Haselnuss, Karamell, Schokolade",https://www.rastshop.ch/de/kaffee/blue-mountain-wallenford-estate,2022-12-09 08:44:20.131926+00:00,Rast Kaffee,250.0,CHF,39.5,1000.0,156.0,Einzelsorte,Jamaika,Jamaika,,,,
32,32,Iglesia,"Limette, Assam-Tee, Mandel, Walnuss",https://www.rastshop.ch/de/kaffee/iglesia-finca-hamburgo,2022-12-09 08:41:23.522256+00:00,Rast Kaffee,Parzellenkaffee,43.75,250,CHF,11.8,1000,44.9,Einzelsorte,Mexiko,Mexiko,,,,,3,2,2,0,2,2,5,2,3,4,2,29.0,"Limette, Assam-Tee, Mandel, Walnuss",https://www.rastshop.ch/de/kaffee/iglesia-finca-hamburgo,2022-12-09 08:44:20.138817+00:00,Rast Kaffee,250.0,CHF,11.8,1000.0,44.9,Einzelsorte,Mexiko,Mexiko,,,,
33,33,Berilo Bio,"getrocknete Aprikose, Kakao und Mandel",https://www.rastshop.ch/de/kaffee/berilo-bio,2022-12-09 08:41:23.529779+00:00,Rast Kaffee,Bio,55.0,250,CHF,8.0,1000,29.9,Einzelsorte,Mexiko,Mexiko,,,,,3,5,1,0,3,3,2,1,4,3,3,,,,,,,,,,,,,,,,,
34,34,Comsa Bio Fairtrade,"Orange, Tabak, Baumnuss",https://www.rastshop.ch/de/kaffee/comsa-bio-fairtrade,2022-12-09 08:41:23.538421+00:00,Rast Kaffee,"Bio, Direct Trade, Fairtrade",50.0,250,CHF,8.3,1000,30.9,Einzelsorte,Honduras,Honduras,,,,,3,4,2,2,4,4,2,2,3,2,4,,,,,,,,,,,,,,,,,
35,35,Gesha natural,"Pflaume, Mango, Ananas",https://www.rastshop.ch/de/kaffee/gesha-natural,2022-12-09 08:41:23.550007+00:00,Rast Kaffee,,37.5,250,CHF,39.5,1000,156.0,Einzelsorte,Panama,Panama,,,,,2,5,0,4,5,0,0,0,5,5,3,,,,,,,,,,,,,,,,,
36,36,Gesha washed,"Bergamotte, Jasmin, Honig, Apfel",https://www.rastshop.ch/de/kaffee/gesha-washed,2022-12-09 08:41:23.578476+00:00,Rast Kaffee,,37.5,250,CHF,39.5,1000,156.0,Einzelsorte,Panama,Panama,,,,,2,4,0,5,5,1,1,0,3,3,4,,,,,,,,,,,,,,,,,
37,37,Bonita Springs Wush Wush,"Früchtetee, Limone, reife Ananas",https://www.rastshop.ch/de/kaffee/bonita-springs-wush-wush,2022-12-09 08:41:23.587993+00:00,Rast Kaffee,,,250,CHF,22.0,1000,86.0,Einzelsorte,Panama,Panama,,,,,0,5,0,2,5,0,0,0,3,3,4,,,,,,,,,,,,,,,,,
38,38,Bahareque Fairtrade,"nussig, Schokolade, Pfirsich",https://www.rastshop.ch/de/kaffee/bahareque-fairtrade,2022-12-09 08:41:23.595374+00:00,Rast Kaffee,"Direct Trade, Fairtrade",50.0,250,CHF,8.0,1000,29.9,Einzelsorte,Kolumbien,Kolumbien,,,,,3,3,1,2,3,3,2,2,2,3,4,34.0,"nussig, Schokolade, Pfirsich",https://www.rastshop.ch/de/kaffee/bahareque-fairtrade,2022-12-09 08:44:20.173333+00:00,Rast Kaffee,250.0,CHF,7.3,1000.0,26.9,Einzelsorte,Kolumbien,Kolumbien,,,,
